1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
170.91,174.1,,185,167.2,138.2,104.61,79.8,157.61,167.3,193.5,374.41,294.8,20.9,15.7,122,75.2,130.1,299.7,58.2,113.7,87.5,124.2,322.2,497.5,0.8,10.6,53.9,78.1,335.5,86.8,110.7,86.5,168.9,160.3,95.1,203.6,134.8,178.7,132,109.1,189.3,161.2,254.7,354.9,68.9,137.3,490.2,183.1,129.4
149,203.1,148.9,135.01,23.82,43.42,97.31,133.8,124.2,268.7,279.6,184.42,169.51,73.3,42.6,68.6,186.8,199.1,156.9,205.2,76.4,119.8,160.9,426.3,549.2,2.3,63.7,39.4,148.9,243.7,301.5,251.1,219.9,258,423.6,299.2,177.7,310.8,255.8,136,257.5,317.5,96.2,481.1,198.5,237,240.3,380,160.1,370.7
283.1,131,116.9,133.31,31.61,95,562.8,129.43,216.3,117,416,291.11,99.4,68,105.6,44.6,119,105.5,156.8,154.4,131.6,123.7,143.5,113.7,700.3,25.4,107.2,30.7,366.3,352.5,237.3,398.1,117,303.5,309,396.7,423,280.2,184.8,121.4,455.9,500,302.2,325.4,436.9,378.2,207.8,164,347.1,
184.5,49.01,73.01,118.3,38.2,63.1,100.21,85.71,329.6,134.5,150.8,152.6,190.6,91.4,62.1,54.3,94.6,103.3,269.9,257.7,81.2,52.7,232.9,116.5,724.5,139.1,0,26.6,409,256.5,120.6,220.8,144.7,276.7,135.8,128.9,122.7,238.5,128.4,115.4,59.7,124.1,234.6,236.7,164.3,253.5,322.9,213.2,139.7,
54.3,,114.31,27.7,58.43,172.4,85.11,184.61,43.1,44.1,179.8,79.4,82.5,56,82.7,97.4,78.2,164.5,315.8,135.6,105.2,139.2,30.6,142,183.6,8.1,,5.2,298.9,55.6,164,68.6,71,106.6,160.1,180.5,215.7,72.1,47.7,95.2,36.9,53.6,93.4,104.1,157.3,113.9,20.5,83.3,223.3,
47.8,27.83,19.61,10,41.6,22.4,102.1,6.2,94.8,28.8,101.61,18.2,15.9,12.1,14.3,0,120.1,2.4,188.5,64.5,73.5,88.9,28,53.3,77,11.1,,10.5,12.2,0,26.3,26.8,65.1,15.7,150.9,71,10.4,5.4,69.8,5.8,11.1,78.7,0.6,28.6,76.4,44.9,18.2,13.2,5.1,
57.2,2.51,81.9,24.91,27.91,77.6,66.7,3.02,53.1,7.9,65.9,0,13,35,23,2.2,23.4,5.4,53.2,12.1,134.7,150.6,136.4,8.2,10.4,4.5,0,0,52,0,53.8,24.9,0,0,25.5,7.8,11.2,16.8,25.2,74.3,,39.4,59.1,41.4,33.2,24.3,60.4,0,20.6,
8.2,22.11,44.01,58.1,62.9,7.52,13.5,73.6,92.5,5.1,18.1,19.3,5,0,12.4,0,49.8,0,82.6,1.5,13.8,0,77.2,9,22.5,3.4,0,11.2,46.3,0,9.2,28.8,13.1,14.3,13.8,8,4.7,17.6,48.9,7.1,5.2,32.3,39.6,19.4,15.1,16.7,13.1,21.6,64,
201.4,52.02,54.4,157.62,68.7,100.32,53.82,72.31,105.5,108.7,121.6,56.3,39.7,118,91.1,12,3.4,87.1,190,95.2,12,2,144.9,153.1,63.8,39,19.1,122.4,265.2,71.6,58.2,65.5,66,66.8,222.7,129,137,80.7,138.6,95,55.9,136,33,292.5,66.5,47.1,111.8,20.6,18.5,
160.7,288.81,221.11,93.7,126.5,191.61,147.51,107.9,159.12,78,244.9,48.01,144.41,21.3,13.2,290.8,383.1,251.8,118.1,104,179.5,80.9,170.5,217.8,105.9,181.5,42.4,60.1,348.1,86.7,206.4,326.5,93.6,179.2,134.2,51.8,140.5,224.5,92.7,190.7,303.3,86.8,242.6,250.3,171.2,118.6,166.3,185.9,276.2,
195.1,109.8,20.11,42.01,190.92,142.3,39.9,143.3,102,137.5,86.1,42,256.91,85.3,13.5,167.5,88.1,184.3,53.5,76.4,130.8,189.2,250.5,145.4,6.5,121.9,18.1,7.5,148,114.1,209.2,94.3,207.6,89.5,150.7,94.7,166.1,171.6,159,212.8,115,199.8,240.3,126.1,212.2,80.1,85.4,232.5,56.2,
151.3,23,19.4,7.81,,114.3,172.5,111.5,81.4,122.2,10.2,73.3,126.2,83.3,24.1,88.7,93.6,256.3,78.3,62.5,42.1,268.4,184.9,340.1,13.3,34.2,36.6,45.5,201.9,147.6,307.7,41.5,276.2,109.2,268.2,230.4,264.6,206.6,115.9,118.4,177.8,292.9,79.5,43.5,173,148.6,287.5,88,191.6,
